"Story","Title","Result","Date","Stability","Duration (s)"
"VirginGames Application","Virgin Games Venture ID","SUCCESS","2023-01-20T21:20:24.319Z[Europe/London]","0.0","8.39"
"VirginGames Application","Virgin Games Maximum Number of Cards","SUCCESS","2023-01-20T21:20:34.695Z[Europe/London]","0.0","0.37"
